CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
17643.0,372.0,1.0,101.55,1,1,1,111
17873.0,79.0,6.0,1764.3600000000001,2,4,4,244
13093.0,266.0,13.0,7741.47,1,4,4,144
12921.0,3.0,50.0,16389.74,4,4,4,444
13468.0,1.0,41.0,5656.75,4,4,4,444
17760.0,21.0,2.0,287.59,3,2,1,321
16928.0,79.0,19.0,2781.5,2,4,4,244
16048.0,85.0,3.0,243.69000000000003,2,2,1,221
16274.0,372.0,1.0,357.95,1,1,2,112
14496.0,311.0,2.0,538.8100000000001,1,2,2,122
14696.0,3.0,9.0,2070.97,4,4,4,444
16539.0,2.0,4.0,1388.81,4,3,3,433
17025.0,60.0,3.0,357.77,2,2,2,222
13777.0,0.0,41.0,25748.350000000002,4,4,4,444
17690.0,29.0,16.0,4748.45,3,4,4,344
12947.0,143.0,11.0,1407.29,1,4,3,143
17460.0,78.0,8.0,452.63,2,4,2,242
18229.0,11.0,20.0,7276.900000000001,4,4,4,444
14142.0,372.0,1.0,311.81,1,1,2,112
17069.0,27.0,13.0,2655.2200000000003,3,4,4,344
13065.0,372.0,1.0,205.86,1,1,1,111
14606.0,0.0,128.0,11713.85,4,4,4,444
16835.0,127.0,2.0,180.85,2,2,1,221
15235.0,217.0,12.0,2247.51,1,4,4,144
13576.0,9.0,20.0,6703.3,4,4,4,444
18011.0,372.0,1.0,102.78999999999999,1,1,1,111
13090.0,8.0,18.0,8689.39,4,4,4,444
15694.0,0.0,15.0,6423.6,4,4,4,444
14741.0,11.0,6.0,1400.34,4,4,3,443
13715.0,280.0,8.0,1053.94,1,4,3,143
14092.0,7.0,17.0,4063.1,4,4,4,444
17732.0,372.0,1.0,303.97,1,1,2,112
12855.0,372.0,1.0,38.1,1,1,1,111
15752.0,39.0,8.0,2628.93,3,4,4,344
17855.0,372.0,1.0,208.97,1,1,1,111
14047.0,8.0,7.0,1290.01,4,4,3,443
17925.0,372.0,1.0,244.08,1,1,1,111
13941.0,21.0,7.0,4912.41,3,4,4,344
17017.0,2.0,27.0,8574.11,4,4,4,444
14135.0,1.0,15.0,4690.31,4,4,4,444
13108.0,372.0,1.0,350.06,1,1,2,112
12471.0,1.0,49.0,18740.92,4,4,4,444
15601.0,10.0,17.0,6745.36,4,4,4,444
13418.0,11.0,23.0,5845.44,4,4,4,444
14766.0,7.0,8.0,2423.07,4,4,4,444
15658.0,189.0,8.0,958.9,1,4,3,143
14388.0,8.0,10.0,3172.04,4,4,4,444
14901.0,10.0,10.0,1414.99,4,4,3,443
18041.0,11.0,22.0,4161.14,4,4,4,444
15955.0,23.0,16.0,4389.81,3,4,4,344
15070.0,372.0,1.0,106.2,1,1,1,111
16244.0,211.0,2.0,1522.75,1,2,3,123
15111.0,28.0,3.0,1567.48,3,2,3,323
14390.0,9.0,13.0,4592.47,4,4,4,444
16546.0,290.0,3.0,-95.93,1,2,1,121
15260.0,99.0,8.0,1780.77,2,4,4,244
13305.0,3.0,10.0,2000.86,4,4,4,444
14491.0,174.0,2.0,340.93,1,2,2,122
14060.0,4.0,20.0,6135.38,4,4,4,444
15923.0,372.0,1.0,127.08,1,1,1,111
16752.0,372.0,1.0,207.5,1,1,1,111
17287.0,25.0,7.0,1064.11,3,4,3,343
15363.0,240.0,2.0,318.05,1,2,2,122
12915.0,148.0,2.0,363.65,1,2,2,122
15544.0,8.0,11.0,3542.51,4,4,4,444
15738.0,18.0,19.0,4788.77,3,4,4,344
16042.0,21.0,7.0,1147.37,3,4,3,343
17381.0,8.0,30.0,20272.43,4,4,4,444
15827.0,72.0,20.0,1641.48,2,4,4,244
14180.0,10.0,31.0,4640.77,4,4,4,444
13117.0,21.0,8.0,984.91,3,4,3,343
16916.0,23.0,2.0,576.26,3,2,2,322
17964.0,31.0,2.0,471.7,3,2,2,322
14466.0,28.0,7.0,2272.4,3,4,4,344
17235.0,24.0,2.0,550.06,3,2,2,322
16510.0,371.0,1.0,248.1,1,1,1,111
17802.0,81.0,4.0,1251.84,2,3,3,233
15107.0,310.0,8.0,247.66,1,4,1,141
17976.0,371.0,1.0,353.19,1,1,2,112
14449.0,18.0,4.0,907.1,3,3,3,333
15838.0,10.0,21.0,33350.76,4,4,4,444
16781.0,364.0,2.0,294.65,1,2,2,122
17547.0,371.0,1.0,-11.8,1,1,1,111
13491.0,51.0,10.0,1215.82,2,4,3,243
16186.0,22.0,13.0,3991.94,3,4,4,344
17685.0,16.0,7.0,3191.53,4,4,4,444
17581.0,0.0,31.0,10736.11,4,4,4,444
15732.0,211.0,2.0,294.12,1,2,2,122
13138.0,21.0,6.0,962.39,3,4,3,343
15823.0,336.0,2.0,-840.76,1,2,1,121
17567.0,6.0,10.0,4012.56,4,4,4,444
15061.0,3.0,55.0,54228.74,4,4,4,444
16203.0,58.0,5.0,589.15,2,3,2,232
15640.0,3.0,17.0,12433.34,4,4,4,444
15574.0,177.0,4.0,702.25,1,3,3,133
16770.0,57.0,6.0,744.9,2,4,3,243
17838.0,26.0,6.0,2312.7,3,4,4,344
17228.0,15.0,8.0,1906.09,4,4,4,444
14829.0,28.0,6.0,644.65,3,4,2,342
17412.0,2.0,7.0,1258.06,4,4,3,443
14031.0,6.0,23.0,14634.640000000001,4,4,4,444
14775.0,57.0,3.0,1011.9,2,2,3,223
12971.0,3.0,89.0,10930.26,4,4,4,444
15834.0,69.0,6.0,2084.9,2,4,4,244
17659.0,3.0,14.0,2954.75,4,4,4,444
15299.0,66.0,11.0,3787.09,2,4,4,244
15646.0,157.0,4.0,425.14000000000004,1,3,2,132
13958.0,371.0,1.0,-102.45,1,1,1,111
14443.0,53.0,7.0,1400.88,2,4,3,243
14156.0,9.0,66.0,113384.14,4,4,4,444
16995.0,371.0,1.0,-1.25,1,1,1,111
13402.0,126.0,2.0,621.23,2,2,2,222
18168.0,175.0,9.0,1133.64,1,4,3,143
17757.0,0.0,31.0,5585.49,4,4,4,444
14625.0,184.0,5.0,848.48,1,3,3,133
13011.0,371.0,1.0,50.550000000000004,1,1,1,111
13798.0,0.0,63.0,36351.42,4,4,4,444
15384.0,169.0,3.0,635.76,1,2,2,122
14264.0,154.0,3.0,319.47,1,2,2,122
13295.0,359.0,2.0,197.95000000000002,1,2,1,121
16754.0,371.0,1.0,2002.4,1,1,4,114
16634.0,222.0,2.0,217.9,1,2,1,121
18239.0,218.0,5.0,1561.6100000000001,1,3,3,133
14576.0,371.0,1.0,35.400000000000006,1,1,1,111
13145.0,39.0,5.0,614.77,3,3,2,332
14395.0,1.0,12.0,3471.91,4,4,4,444
14865.0,6.0,2.0,52.2,4,2,1,421
15093.0,17.0,9.0,4410.14,3,4,4,344
12738.0,371.0,1.0,155.35,1,1,1,111
16150.0,38.0,10.0,1906.07,3,4,4,344
17552.0,42.0,6.0,909.96,3,4,3,343
14236.0,80.0,2.0,490.86,2,2,2,222
17961.0,20.0,39.0,1296.44,3,4,3,343
14573.0,179.0,13.0,1603.72,1,4,3,143
17135.0,15.0,7.0,1139.73,4,4,3,443
17396.0,38.0,8.0,7330.8,3,4,4,344
14213.0,371.0,1.0,-1192.2,1,1,1,111
12967.0,2.0,4.0,1194.75,4,3,3,433
12686.0,371.0,1.0,89.14,1,1,1,111
14679.0,371.0,1.0,-2.55,1,1,1,111
15240.0,44.0,7.0,1685.57,3,4,4,344
18225.0,2.0,17.0,5361.02,4,4,4,444
13370.0,365.0,2.0,721.32,1,2,3,123
16883.0,186.0,2.0,276.73,1,2,1,121
13520.0,58.0,8.0,3487.75,2,4,4,244
12841.0,4.0,26.0,3876.4,4,4,4,444
16905.0,4.0,8.0,3085.48,4,4,4,444
12427.0,11.0,5.0,708.37,4,3,3,433
17967.0,371.0,1.0,123.07,1,1,1,111
16891.0,1.0,5.0,809.7,4,3,3,433
14589.0,371.0,1.0,39.75,1,1,1,111
14680.0,24.0,23.0,26932.34,3,4,4,344
17884.0,3.0,4.0,717.45,4,3,3,433
12557.0,15.0,5.0,11990.960000000001,4,3,4,434
14083.0,3.0,9.0,1018.43,4,4,3,443
13013.0,0.0,15.0,4786.99,4,4,4,444
14210.0,90.0,7.0,1900.89,2,4,4,244
16477.0,63.0,7.0,2494.46,2,4,4,244
12600.0,28.0,11.0,2581.04,3,4,4,344
16013.0,3.0,54.0,33366.25,4,4,4,444
17949.0,0.0,52.0,52750.84,4,4,4,444
12779.0,20.0,12.0,3868.7,3,4,4,344
16926.0,370.0,1.0,230.25,1,1,1,111
17787.0,152.0,4.0,1865.19,1,3,4,134
12682.0,3.0,31.0,12288.22,4,4,4,444
14723.0,9.0,6.0,1158.3,4,4,3,443
17954.0,4.0,16.0,2295.37,4,4,4,444
17819.0,71.0,8.0,3661.0699999999997,2,4,4,244
12712.0,22.0,17.0,4241.63,3,4,4,344
15373.0,7.0,13.0,2213.11,4,4,4,444
16140.0,52.0,4.0,703.77,2,3,3,233
17198.0,23.0,3.0,692.22,3,2,3,323
17238.0,2.0,17.0,3744.65,4,4,4,444
12793.0,334.0,2.0,545.48,1,2,2,122
15769.0,6.0,29.0,51823.72,4,4,4,444
14396.0,64.0,2.0,487.99,2,2,2,222
14898.0,22.0,8.0,1228.32,3,4,3,343
12725.0,370.0,1.0,427.8,1,1,2,112
16725.0,301.0,8.0,775.07,1,4,3,143
12395.0,15.0,15.0,2998.28,4,4,4,444
16455.0,63.0,7.0,1841.18,2,4,4,244
13081.0,0.0,21.0,27964.48,4,4,4,444
15545.0,53.0,2.0,292.71999999999997,2,2,1,221
17243.0,0.0,30.0,8628.55,4,4,4,444
15465.0,19.0,24.0,6945.0199999999995,3,4,4,344
15708.0,40.0,11.0,3329.7200000000003,3,4,4,344
13089.0,2.0,118.0,57385.88,4,4,4,444
16033.0,5.0,27.0,8727.61,4,4,4,444
13838.0,5.0,4.0,691.73,4,3,3,433
15351.0,11.0,10.0,1862.14,4,4,4,444
18055.0,6.0,11.0,6752.14,4,4,4,444
15038.0,42.0,7.0,665.59,3,4,3,343
18109.0,1.0,31.0,7925.32,4,4,4,444
13069.0,0.0,27.0,3717.82,4,4,4,444
16241.0,9.0,13.0,2607.87,4,4,4,444
14800.0,47.0,16.0,4236.34,3,4,4,344
16839.0,8.0,39.0,15357.78,4,4,4,444
16168.0,10.0,28.0,3770.6,4,4,4,444
16931.0,4.0,21.0,4604.22,4,4,4,444
16814.0,13.0,22.0,6500.6,4,4,4,444
13269.0,0.0,17.0,5315.92,4,4,4,444
14813.0,369.0,2.0,155.43,1,2,1,121
12567.0,22.0,11.0,9114.94,3,4,4,344
17062.0,313.0,5.0,534.47,1,3,2,132
15332.0,365.0,4.0,1661.06,1,3,4,134
14810.0,40.0,11.0,2087.88,3,4,4,344
16353.0,3.0,23.0,6675.71,4,4,4,444
18118.0,10.0,31.0,5595.77,4,4,4,444
13831.0,15.0,6.0,2202.99,4,4,4,444
13506.0,311.0,3.0,452.82,1,2,2,122
17796.0,39.0,4.0,697.9,3,3,3,333
15716.0,145.0,4.0,1118.81,1,3,3,133
18156.0,12.0,2.0,734.94,4,2,3,423
15221.0,365.0,2.0,114.1,1,2,1,121
16983.0,12.0,8.0,1920.2,4,4,4,444
17059.0,29.0,5.0,3095.04,3,3,4,334
16327.0,13.0,6.0,3844.22,4,4,4,444
17211.0,26.0,9.0,2299.67,3,4,4,344
17026.0,184.0,2.0,154.82999999999998,1,2,1,121
15570.0,6.0,13.0,4109.97,4,4,4,444
15880.0,368.0,2.0,313.28000000000003,1,2,2,122
16718.0,368.0,1.0,623.75,1,1,2,112
15808.0,305.0,5.0,3724.77,1,3,4,134
17858.0,5.0,12.0,5155.66,4,4,4,444
16393.0,1.0,20.0,2941.05,4,4,4,444
14161.0,215.0,3.0,1110.52,1,2,3,123
17863.0,58.0,6.0,3160.0,2,4,4,244
16411.0,18.0,2.0,214.65,3,2,1,321
16402.0,264.0,2.0,299.6,1,2,2,122
15023.0,2.0,12.0,6763.16,4,4,4,444
17402.0,4.0,13.0,2633.85,4,4,4,444
15426.0,18.0,7.0,1429.9,3,4,3,343
12647.0,21.0,13.0,3669.92,3,4,4,344
15894.0,252.0,2.0,263.55,1,2,1,121
15867.0,4.0,16.0,3797.79,4,4,4,444
14506.0,16.0,5.0,2012.17,4,3,4,434
15555.0,11.0,20.0,4758.2,4,4,4,444
13034.0,54.0,2.0,642.77,2,2,2,222
15889.0,156.0,2.0,446.87,1,2,2,122
15953.0,14.0,10.0,1634.53,4,4,4,444
16143.0,2.0,7.0,2419.84,4,4,4,444
12720.0,2.0,29.0,5713.28,4,4,4,444
16422.0,16.0,75.0,33805.69,4,4,4,444
12747.0,1.0,11.0,4196.01,4,4,4,444
15502.0,15.0,23.0,5541.46,4,4,4,444
12763.0,137.0,2.0,494.08,2,2,2,222
14081.0,266.0,4.0,904.67,1,3,3,133
17965.0,37.0,14.0,2622.57,3,4,4,344
14404.0,33.0,7.0,1434.72,3,4,3,343
13579.0,14.0,2.0,467.04,4,2,2,422
13174.0,15.0,3.0,2817.03,4,2,4,424
15987.0,11.0,7.0,1451.28,4,4,3,443
17677.0,1.0,43.0,16219.22,4,4,4,444
13652.0,45.0,3.0,1095.08,3,2,3,323
12586.0,16.0,2.0,179.94000000000003,4,2,1,421
17428.0,0.0,33.0,17078.45,4,4,4,444
16161.0,1.0,26.0,5352.97,4,4,4,444
16858.0,365.0,2.0,345.89000000000004,1,2,2,122
18219.0,2.0,11.0,2019.77,4,4,4,444
14293.0,2.0,4.0,1046.56,4,3,3,433
14748.0,28.0,6.0,1311.79,3,4,3,343
16638.0,22.0,11.0,1676.47,3,4,4,344
17674.0,73.0,2.0,551.04,2,2,2,222
12808.0,36.0,3.0,483.65000000000003,3,2,2,322
13094.0,20.0,16.0,1708.8600000000001,3,4,4,344
15899.0,368.0,1.0,56.25,1,1,1,111
12708.0,29.0,16.0,2616.32,3,4,4,344
15898.0,0.0,6.0,1384.68,4,4,3,443
17691.0,357.0,2.0,290.40000000000003,1,2,1,121
17227.0,18.0,6.0,939.32,3,4,3,343
15039.0,9.0,52.0,19786.44,4,4,4,444
15919.0,19.0,2.0,639.89,3,2,2,322
13497.0,282.0,3.0,321.05,1,2,2,122
15860.0,40.0,8.0,977.21,3,4,3,343
14189.0,1.0,24.0,4604.31,4,4,4,444
15304.0,60.0,10.0,680.3,2,4,3,243
14867.0,185.0,4.0,701.33,1,3,3,133
14344.0,126.0,8.0,889.9300000000001,2,4,3,243
12474.0,16.0,30.0,7116.47,4,4,4,444
16719.0,14.0,8.0,1773.92,4,4,4,444
15048.0,64.0,5.0,380.57,2,3,2,232
15301.0,50.0,14.0,5028.12,2,4,4,244
14708.0,2.0,4.0,1096.67,4,3,3,433
16898.0,25.0,4.0,444.46,3,3,2,332
14825.0,3.0,12.0,2226.91,4,4,4,444
18113.0,368.0,1.0,76.32000000000001,1,1,1,111
17596.0,22.0,7.0,2827.93,3,4,4,344
15078.0,6.0,38.0,9623.35,4,4,4,444
14085.0,1.0,19.0,4435.79,4,4,4,444
17860.0,368.0,1.0,252.8,1,1,1,111
13155.0,32.0,4.0,971.76,3,3,3,333
15028.0,7.0,4.0,627.13,4,3,2,432
16919.0,155.0,11.0,2596.45,1,4,4,144
17259.0,147.0,2.0,603.37,1,2,2,122
17019.0,10.0,4.0,1272.61,4,3,3,433
14487.0,26.0,7.0,1183.58,3,4,3,343
16722.0,16.0,16.0,4711.21,4,4,4,444
15882.0,198.0,5.0,495.36,1,3,2,132
14667.0,10.0,27.0,9231.2,4,4,4,444
16710.0,18.0,10.0,2483.04,3,4,4,344
16550.0,108.0,9.0,2266.25,2,4,4,244
15984.0,2.0,11.0,2816.97,4,4,4,444
17682.0,9.0,7.0,2459.33,4,4,4,444
16658.0,367.0,1.0,123.24,1,1,1,111
17068.0,11.0,22.0,4531.34,4,4,4,444
15356.0,30.0,10.0,2766.5,3,4,4,344
17223.0,309.0,2.0,426.79,1,2,2,122
16817.0,2.0,13.0,1446.95,4,4,3,443
13030.0,10.0,2.0,799.48,4,2,3,423
17191.0,27.0,7.0,2095.13,3,4,4,344
15194.0,2.0,22.0,7521.17,4,4,4,444
14409.0,70.0,7.0,1908.25,2,4,4,244
16654.0,140.0,5.0,594.97,2,3,2,232
16861.0,59.0,3.0,151.65,2,2,1,221
16138.0,367.0,1.0,-7.95,1,1,1,111
13481.0,45.0,8.0,1776.81,3,4,4,344
13495.0,7.0,6.0,1990.1200000000001,4,4,4,444
17519.0,16.0,7.0,1839.07,4,4,4,444
17218.0,3.0,10.0,1960.72,4,4,4,444
17812.0,12.0,4.0,732.16,4,3,3,433
14215.0,11.0,7.0,1777.92,4,4,4,444
15602.0,7.0,15.0,1083.63,4,4,3,443
17320.0,99.0,3.0,1200.6200000000001,2,2,3,223
16782.0,9.0,19.0,2242.25,4,4,4,444
12913.0,4.0,5.0,2483.63,4,3,4,434
17869.0,106.0,5.0,428.18,2,3,2,232
13564.0,143.0,5.0,647.74,1,3,2,132
14850.0,311.0,2.0,278.15,1,2,1,121
15021.0,8.0,13.0,1872.28,4,4,4,444
13963.0,307.0,4.0,664.54,1,3,3,133
17450.0,7.0,55.0,187482.17,4,4,4,444
17091.0,2.0,10.0,3802.81,4,4,4,444
17470.0,44.0,5.0,1125.07,3,3,3,333
17616.0,173.0,3.0,571.1999999999999,1,2,2,122
15649.0,335.0,2.0,816.0,1,2,3,123
12681.0,14.0,27.0,13677.59,4,4,4,444
14907.0,2.0,10.0,3478.85,4,4,4,444
17735.0,1.0,19.0,13110.02,4,4,4,444
16059.0,65.0,6.0,1459.8600000000001,2,4,3,243
17720.0,25.0,4.0,1195.94,3,3,3,333
15018.0,38.0,4.0,456.26,3,3,2,332
14733.0,8.0,15.0,9451.54,4,4,4,444
13756.0,1.0,15.0,5145.12,4,4,4,444
14176.0,296.0,5.0,574.0,1,3,2,132
13319.0,4.0,36.0,10664.34,4,4,4,444
15353.0,254.0,2.0,777.02,1,2,3,123
18119.0,367.0,1.0,181.12,1,1,1,111
17491.0,0.0,11.0,3541.92,4,4,4,444
14282.0,2.0,15.0,3729.34,4,4,4,444
13569.0,16.0,2.0,373.75,4,2,2,422
15498.0,0.0,35.0,12396.46,4,4,4,444
14673.0,2.0,5.0,1736.4,4,3,4,434
13488.0,16.0,17.0,8910.61,4,4,4,444
16221.0,36.0,3.0,864.86,3,2,3,323
15002.0,115.0,4.0,1641.76,2,3,4,234
15965.0,16.0,4.0,845.64,4,3,3,433
15024.0,9.0,10.0,1661.33,4,4,4,444
17675.0,0.0,41.0,20098.1,4,4,4,444
13769.0,1.0,16.0,2771.87,4,4,4,444
16904.0,3.0,16.0,3754.27,4,4,4,444
16086.0,58.0,6.0,1119.31,2,4,3,243
13786.0,366.0,1.0,230.39999999999998,1,1,1,111
13880.0,20.0,13.0,3219.77,3,4,4,344
13173.0,3.0,2.0,353.65,4,2,2,422
15858.0,15.0,5.0,1438.85,4,3,3,433
15180.0,366.0,1.0,87.5,1,1,1,111
12347.0,1.0,7.0,4310.0,4,4,4,444
14739.0,1.0,8.0,3899.1,4,4,4,444
16293.0,8.0,12.0,2236.7400000000002,4,4,4,444
17419.0,10.0,14.0,4200.97,4,4,4,444
16775.0,9.0,11.0,1695.66,4,4,4,444
16306.0,213.0,9.0,602.27,1,4,2,142
16950.0,56.0,3.0,1178.56,2,2,3,223
17591.0,72.0,8.0,2215.02,2,4,4,244
12839.0,2.0,16.0,5583.62,4,4,4,444
13807.0,366.0,1.0,112.6,1,1,1,111
16125.0,366.0,1.0,289.35,1,1,1,111
15081.0,21.0,6.0,487.35,3,4,2,342
18102.0,0.0,62.0,256438.49,4,4,4,444
16365.0,17.0,9.0,1540.42,3,4,3,343
17870.0,1.0,13.0,1889.4,4,4,4,444
14821.0,366.0,1.0,48.800000000000004,1,1,1,111
16863.0,28.0,4.0,481.35,3,3,2,332
13078.0,0.0,43.0,12432.28,4,4,4,444
13267.0,2.0,27.0,4404.44,4,4,4,444
13050.0,8.0,28.0,5684.61,4,4,4,444
12709.0,2.0,26.0,9294.1,4,4,4,444
15628.0,4.0,10.0,2865.64,4,4,4,444
12386.0,337.0,2.0,401.9,1,2,2,122
14796.0,0.0,27.0,7839.51,4,4,4,444
16779.0,1.0,28.0,10454.05,4,4,4,444
13599.0,0.0,33.0,5030.6,4,4,4,444
13329.0,31.0,4.0,740.4,3,3,3,333
18077.0,7.0,11.0,2633.0099999999998,4,4,4,444
14744.0,15.0,9.0,1088.53,4,4,3,443
17406.0,329.0,5.0,1928.72,1,3,4,134
15750.0,2.0,9.0,2451.23,4,4,4,444
13983.0,29.0,13.0,2590.46,3,4,4,344
13842.0,58.0,9.0,3385.62,2,4,4,244
12441.0,366.0,1.0,173.55,1,1,1,111
13199.0,3.0,39.0,9803.96,4,4,4,444
14032.0,1.0,18.0,2929.84,4,4,4,444
17706.0,3.0,22.0,10097.37,4,4,4,444
16081.0,55.0,5.0,2806.9,2,3,4,234
16525.0,1.0,29.0,11895.57,4,4,4,444
14952.0,45.0,15.0,7912.79,3,4,4,344
17975.0,14.0,14.0,4393.61,4,4,4,444
16122.0,72.0,4.0,684.4200000000001,2,3,3,233
13126.0,4.0,10.0,2056.29,4,4,4,444
15973.0,235.0,3.0,99.77000000000002,1,2,1,121
16558.0,0.0,24.0,8257.04,4,4,4,444
16713.0,18.0,21.0,6840.2300000000005,3,4,4,344
16893.0,366.0,1.0,145.93,1,1,1,111
15529.0,22.0,12.0,3967.78,3,4,4,344
18043.0,24.0,3.0,559.51,3,2,2,322
16016.0,2.0,10.0,1483.31,4,4,3,443
17722.0,95.0,6.0,2380.64,2,4,4,244
17324.0,17.0,4.0,990.23,3,3,3,333
17341.0,156.0,3.0,781.36,1,2,3,123
14051.0,0.0,26.0,15477.34,4,4,4,444
15916.0,15.0,10.0,1491.24,4,4,3,443
16233.0,70.0,5.0,422.13,2,3,2,232
16385.0,59.0,3.0,555.89,2,2,2,222
15032.0,255.0,5.0,4464.1,1,3,4,134
17213.0,39.0,11.0,2741.08,3,4,4,344
18061.0,21.0,10.0,2119.41,3,4,4,344
13113.0,0.0,40.0,10510.0,4,4,4,444
16553.0,162.0,14.0,5664.57,1,4,4,144
13455.0,24.0,4.0,1007.35,3,3,3,333
14217.0,1.0,24.0,1925.3600000000001,4,4,4,444
17262.0,51.0,5.0,1253.3600000000001,2,3,3,233
14299.0,7.0,18.0,2855.35,4,4,4,444
18259.0,24.0,3.0,2338.6000000000004,3,2,4,324
17676.0,3.0,7.0,1383.27,4,4,3,443
16679.0,365.0,1.0,129.75,1,1,1,111
18269.0,357.0,2.0,138.9,1,2,1,121
12766.0,3.0,7.0,6989.63,4,4,4,444
15298.0,1.0,14.0,3774.1,4,4,4,444
18193.0,150.0,3.0,212.96,1,2,1,121
13523.0,32.0,6.0,3755.38,3,4,4,344
12870.0,365.0,1.0,-14.899999999999999,1,1,1,111
15005.0,15.0,35.0,6180.49,4,4,4,444
15581.0,120.0,14.0,3429.9700000000003,2,4,4,244
15680.0,8.0,3.0,1333.68,4,2,3,423
13649.0,256.0,2.0,346.6,1,2,2,122
17894.0,71.0,8.0,1119.81,2,4,3,243
13270.0,365.0,1.0,590.0,1,1,2,112
14618.0,8.0,4.0,538.59,4,3,2,432
14866.0,10.0,13.0,14197.45,4,4,4,444
13077.0,0.0,4.0,729.27,4,3,3,433
13115.0,8.0,14.0,2205.63,4,4,4,444
13531.0,204.0,2.0,483.8,1,2,2,122
13848.0,91.0,3.0,1255.0,2,2,3,223
13140.0,107.0,3.0,423.72,2,2,2,222
15713.0,142.0,3.0,346.75,2,2,2,222
17999.0,36.0,2.0,382.06,3,2,2,322
15347.0,365.0,1.0,201.60000000000002,1,1,1,111
17340.0,8.0,16.0,11891.18,4,4,4,444
13984.0,26.0,6.0,488.03,3,4,2,342
15996.0,87.0,7.0,1044.78,2,4,3,243
14030.0,17.0,8.0,2360.09,3,4,4,344
16252.0,365.0,1.0,-295.09,1,1,1,111
